scenario,condition_field,condition,count,pct
S1: IT Infrastructure,true_condition,ambiguous,2259,0.1506
S1: IT Infrastructure,true_condition,clean,3833,0.255533
S1: IT Infrastructure,true_condition,damaged,3648,0.2432
S1: IT Infrastructure,true_condition,mixed,5260,0.350667
S1: IT Infrastructure,observed_condition,ambiguous,4167,0.2778
S1: IT Infrastructure,observed_condition,clean,3470,0.231333
S1: IT Infrastructure,observed_condition,damaged,3325,0.221667
S1: IT Infrastructure,observed_condition,mixed,4038,0.2692
S2: Aviation MRO,true_condition,corroded,3006,0.2004
S2: Aviation MRO,true_condition,cracked,2489,0.165933
S2: Aviation MRO,true_condition,failed,447,0.0298
S2: Aviation MRO,true_condition,inoperative,1125,0.075
S2: Aviation MRO,true_condition,serviceable,4263,0.2842
S2: Aviation MRO,true_condition,worn,3670,0.244667
S2: Aviation MRO,observed_condition,corroded,2176,0.145067
S2: Aviation MRO,observed_condition,cracked,1949,0.129933
S2: Aviation MRO,observed_condition,failed,644,0.042933
S2: Aviation MRO,observed_condition,inoperative,1518,0.1012
S2: Aviation MRO,observed_condition,serviceable,3512,0.234133
S2: Aviation MRO,observed_condition,uninformative,2311,0.154067
S2: Aviation MRO,observed_condition,worn,2890,0.192667
S3: Consumer Electronics,true_condition,cosmetic,4580,0.152667
S3: Consumer Electronics,true_condition,dead,6039,0.2013
S3: Consumer Electronics,true_condition,degraded,8983,0.299433
S3: Consumer Electronics,true_condition,functional_return,7494,0.2498
S3: Consumer Electronics,true_condition,hazard,2904,0.0968
S3: Consumer Electronics,observed_condition,cosmetic,4817,0.160567
S3: Consumer Electronics,observed_condition,dead,5143,0.171433
S3: Consumer Electronics,observed_condition,degraded,6668,0.222267
S3: Consumer Electronics,observed_condition,functional_return,5950,0.198333
S3: Consumer Electronics,observed_condition,hazard,2907,0.0969
S3: Consumer Electronics,observed_condition,uninformative,4515,0.1505
