scenario,method,semantic_extractor,n_seeds,TRV_mean,TRV_std,per_asset_TRV_mean,per_asset_TRV_seed_std,per_asset_within_batch_std_mean,RPR_mean,RPR_std,ICS_mean,ICS_std
S1: IT Infrastructure,random,n/a,30,333479.909,31421.549,666.96,62.843,1287.359,0.6746,0.020839,37500.0,0.0
S1: IT Infrastructure,rule_based,n/a,30,614166.944,43921.558,1228.334,87.843,1761.2,1.0,0.0,37500.0,0.0
S1: IT Infrastructure,structured,n/a,30,404970.655,41881.624,809.941,83.763,1902.33,0.258,0.0,0.0,0.0
S1: IT Infrastructure,combined,keyword+structured,30,611006.611,43912.109,1222.013,87.824,1761.262,1.0,0.0,34339.667,181.374
S1: IT Infrastructure,oracle,n/a,30,406265.077,41874.56,812.53,83.749,1901.754,0.258,0.0,0.0,0.0
S1: IT Infrastructure,no_signal,n/a,30,614166.944,43921.558,1228.334,87.843,1761.2,1.0,0.0,37500.0,0.0
S1: IT Infrastructure,semantic_only,keyword,30,552782.842,40414.466,1105.566,80.829,1691.921,0.9976,0.002313,34339.667,181.374
S1: IT Infrastructure,ours,keyword,30,611006.611,43912.109,1222.013,87.824,1761.262,1.0,0.0,34339.667,181.374
S2: Aviation MRO,random,n/a,30,1127984.722,76173.819,2255.969,152.348,3056.018,0.6746,0.020839,50000.0,0.0
S2: Aviation MRO,rule_based,n/a,30,1232594.103,66668.494,2465.188,133.337,3576.135,0.614,0.0,50000.0,0.0
S2: Aviation MRO,structured,n/a,30,1382230.14,69394.387,2764.46,138.789,4382.819,0.364,0.0,0.0,0.0
S2: Aviation MRO,combined,keyword+structured,30,1618423.546,80963.225,3236.847,161.926,4259.498,0.507333,0.005857,28813.333,1162.854
S2: Aviation MRO,oracle,n/a,30,1388560.441,70520.763,2777.121,141.042,4382.28,0.364,0.0,0.0,0.0
S2: Aviation MRO,no_signal,n/a,30,1676360.799,91130.491,3352.722,182.261,4194.364,0.614,0.0,50000.0,0.0
S2: Aviation MRO,semantic_only,keyword,30,1677436.238,93687.205,3354.872,187.374,3589.964,0.959467,0.008253,28813.333,1162.854
S2: Aviation MRO,ours,keyword,30,1602971.274,79520.823,3205.943,159.042,4268.707,0.507333,0.005857,28813.333,1162.854
S3: Consumer Electronics,random,n/a,30,-5202.09,536.828,-5.202,0.537,15.994,0.664533,0.012711,20000.0,0.0
S3: Consumer Electronics,rule_based,n/a,30,81355.447,2743.559,81.355,2.744,76.336,1.0,0.0,20000.0,0.0
S3: Consumer Electronics,structured,n/a,30,69927.111,2351.238,69.927,2.351,66.488,0.9,0.0,0.0,0.0
S3: Consumer Electronics,combined,keyword+structured,30,71217.501,2461.414,71.218,2.461,67.096,0.948567,0.006191,977.0,123.544
S3: Consumer Electronics,oracle,n/a,30,70122.458,2349.309,70.122,2.349,66.249,0.9,0.0,0.0,0.0
S3: Consumer Electronics,no_signal,n/a,30,81355.447,2743.559,81.355,2.744,76.336,1.0,0.0,20000.0,0.0
S3: Consumer Electronics,semantic_only,keyword,30,41863.395,3049.236,41.863,3.049,80.636,0.642433,0.017719,977.0,123.544
S3: Consumer Electronics,ours,keyword,30,71202.406,2464.408,71.202,2.464,67.116,0.948567,0.006191,977.0,123.544
