scenario,extractor,n_seeds,sigma_bin,n,mean_sigma,mean_abs_phi_error,within_tolerance_rate
S1: IT Infrastructure,keyword,30,"[0.0,0.2)",0,n/a,n/a,n/a
S1: IT Infrastructure,keyword,30,"[0.2,0.4)",4167,0.275,0.46346,0.136069
S1: IT Infrastructure,keyword,30,"[0.4,0.6)",823,0.45,0.162028,0.674362
S1: IT Infrastructure,keyword,30,"[0.6,0.8)",0,n/a,n/a,n/a
S1: IT Infrastructure,keyword,30,"[0.8,1.0]",10010,0.887887,0.198721,0.532368
S1: IT Infrastructure,strong,30,"[0.0,0.2)",0,n/a,n/a,n/a
S1: IT Infrastructure,strong,30,"[0.2,0.4)",0,n/a,n/a,n/a
S1: IT Infrastructure,strong,30,"[0.4,0.6)",0,n/a,n/a,n/a
S1: IT Infrastructure,strong,30,"[0.6,0.8)",0,n/a,n/a,n/a
S1: IT Infrastructure,strong,30,"[0.8,1.0]",15000,0.9,0.137885,0.770533
S1: IT Infrastructure,llm,30,"[0.0,0.2)",0,n/a,n/a,n/a
S1: IT Infrastructure,llm,30,"[0.2,0.4)",4167,0.2,0.17532,0.702424
S1: IT Infrastructure,llm,30,"[0.4,0.6)",0,n/a,n/a,n/a
S1: IT Infrastructure,llm,30,"[0.6,0.8)",1046,0.7,0.145392,0.763862
S1: IT Infrastructure,llm,30,"[0.8,1.0]",9787,0.85,0.15125,0.726474
S2: Aviation MRO,keyword,30,"[0.0,0.2)",6356,0.165,0.50635,0.1191
S2: Aviation MRO,keyword,30,"[0.2,0.4)",0,n/a,n/a,n/a
S2: Aviation MRO,keyword,30,"[0.4,0.6)",0,n/a,n/a,n/a
S2: Aviation MRO,keyword,30,"[0.6,0.8)",0,n/a,n/a,n/a
S2: Aviation MRO,keyword,30,"[0.8,1.0]",8644,0.874205,0.170959,0.748843
S2: Aviation MRO,strong,30,"[0.0,0.2)",0,n/a,n/a,n/a
S2: Aviation MRO,strong,30,"[0.2,0.4)",2311,0.2,0.476854,0.205539
S2: Aviation MRO,strong,30,"[0.4,0.6)",0,n/a,n/a,n/a
S2: Aviation MRO,strong,30,"[0.6,0.8)",0,n/a,n/a,n/a
S2: Aviation MRO,strong,30,"[0.8,1.0]",12689,0.9,0.091686,0.897628
S2: Aviation MRO,llm,30,"[0.0,0.2)",0,n/a,n/a,n/a
S2: Aviation MRO,llm,30,"[0.2,0.4)",3148,0.2,0.173435,0.615947
S2: Aviation MRO,llm,30,"[0.4,0.6)",0,n/a,n/a,n/a
S2: Aviation MRO,llm,30,"[0.6,0.8)",0,n/a,n/a,n/a
S2: Aviation MRO,llm,30,"[0.8,1.0]",11852,0.85,0.092362,0.897654
S3: Consumer Electronics,keyword,30,"[0.0,0.2)",20701,0.145293,0.379375,0.375054
S3: Consumer Electronics,keyword,30,"[0.2,0.4)",0,n/a,n/a,n/a
S3: Consumer Electronics,keyword,30,"[0.4,0.6)",9299,0.438687,0.190631,0.575653
S3: Consumer Electronics,keyword,30,"[0.6,0.8)",0,n/a,n/a,n/a
S3: Consumer Electronics,keyword,30,"[0.8,1.0]",0,n/a,n/a,n/a
S3: Consumer Electronics,strong,30,"[0.0,0.2)",0,n/a,n/a,n/a
S3: Consumer Electronics,strong,30,"[0.2,0.4)",4515,0.2,0.436168,0.348173
S3: Consumer Electronics,strong,30,"[0.4,0.6)",0,n/a,n/a,n/a
S3: Consumer Electronics,strong,30,"[0.6,0.8)",0,n/a,n/a,n/a
S3: Consumer Electronics,strong,30,"[0.8,1.0]",25485,0.9,0.087712,0.859054
S3: Consumer Electronics,llm,30,"[0.0,0.2)",0,n/a,n/a,n/a
S3: Consumer Electronics,llm,30,"[0.2,0.4)",5853,0.2,0.27479,0.289083
S3: Consumer Electronics,llm,30,"[0.4,0.6)",0,n/a,n/a,n/a
S3: Consumer Electronics,llm,30,"[0.6,0.8)",1641,0.6,0.111141,0.814138
S3: Consumer Electronics,llm,30,"[0.8,1.0]",22506,0.85,0.097312,0.835777
