scenario,variant,n_seeds,tau_l,tau_h,TRV_mean,TRV_std,RPR_mean,ICS_mean,policy_skip_pct,policy_quick_pct,policy_full_pct,charged_inspected_pct_mean
S1: IT Infrastructure,default,30,0.25,0.5,611006.611,43912.109,1.0,34339.667,0.667333,0.332667,0.0,0.332667
S1: IT Infrastructure,more_skip,30,0.25,0.4,611527.844,43937.971,1.0,34860.9,0.7222,0.2778,0.0,0.2778
S1: IT Infrastructure,less_skip,30,0.25,0.7,611006.611,43912.109,1.0,34339.667,0.667333,0.332667,0.0,0.332667
S1: IT Infrastructure,less_full,30,0.15,0.5,611006.611,43912.109,1.0,34339.667,0.667333,0.332667,0.0,0.332667
S1: IT Infrastructure,more_full,30,0.35,0.5,603228.211,43965.156,1.0,26561.267,0.667333,0.054867,0.2778,0.332667
S2: Aviation MRO,default,30,0.25,0.5,1602971.274,79520.823,0.507333,28813.333,0.576267,0.0,0.423733,0.423733
S2: Aviation MRO,more_skip,30,0.25,0.4,1602971.274,79520.823,0.507333,28813.333,0.576267,0.0,0.423733,0.423733
S2: Aviation MRO,less_skip,30,0.25,0.7,1602971.274,79520.823,0.507333,28813.333,0.576267,0.0,0.423733,0.423733
S2: Aviation MRO,less_full,30,0.15,0.5,1672288.661,82934.491,0.552933,39406.667,0.576267,0.423733,0.0,0.423733
S2: Aviation MRO,more_full,30,0.35,0.5,1602971.274,79520.823,0.507333,28813.333,0.576267,0.0,0.423733,0.423733
S3: Consumer Electronics,default,30,0.45,0.5,71202.406,2464.408,0.948567,977.0,0.0,0.0977,0.9023,1.0
S3: Consumer Electronics,more_skip,30,0.39,0.4,73589.78,2652.567,1.0,6199.333,0.309967,0.0,0.690033,0.690033
S3: Consumer Electronics,less_skip,30,0.45,0.7,71202.406,2464.408,0.948567,977.0,0.0,0.0977,0.9023,1.0
S3: Consumer Electronics,less_full,30,0.35,0.5,73398.113,2463.059,1.0,3099.667,0.0,0.309967,0.690033,1.0
S3: Consumer Electronics,more_full,30,0.49,0.5,69886.5,2349.987,0.9,0.0,0.0,0.0,1.0,1.0
